NOC,Year,M,P,A,Rank,Country,Gold,Silver,Bronze,Total,Host,Gold_Ratio,Pre_Host,Post_Host,Host_Flag,Cumulative_Total,CMR,RPI,GCR,MCI,ECR,ME,RIR,GR,Degree Centrality,Betweenness Centrality,Closeness Centrality,predicted_NR,Predicted_CA,delta_GR
ETH,1964,3,21,12,24,Ethiopia,1,0,0,1,Japan,1.0,0,0,0,2,0.0001199976000479,0.0021978021978021,1.0,96.0,0.1428571428571428,0.0833333333333333,0.1428571428571428,1.0,1.75,0.0843101343101342,0.8888888888888888,-3.746285116273717,1.2500632158449805,0.0
FIN,1964,13,21,89,12,Finland,3,0,2,5,Japan,0.6,0,0,0,239,0.0143397132057358,0.0109890109890109,0.6,19.2,0.6190476190476191,0.0561797752808988,-0.2941176470588235,0.913907284768212,1.9,0.0866452991452991,0.9523809523809524,18.361888227789056,9.52759853838836,0.09655568659469604
FRA,1964,14,21,138,21,France,1,8,6,15,Japan,0.0666666666666666,0,0,0,368,0.0220795584088318,0.0329670329670329,0.0666666666666666,6.4,0.6666666666666666,0.108695652173913,-0.16,0.8130841121495327,1.75,0.0843101343101342,0.8888888888888888,21.15938104295332,16.604182316317903,0.011431219587549224
GBR,1964,17,21,204,10,Great Britain,4,12,2,18,Japan,0.2222222222222222,0,0,0,459,0.0275394492110157,0.0395604395604395,0.2222222222222222,5.333333333333333,0.8095238095238095,0.088235294117647,-0.1666666666666666,0.7574750830564784,2.0,0.0008361204013377,1.0,26.27012168244933,22.673437107793596,0.006832409534627493
GBR,1964,17,21,204,35,Ireland,0,0,1,1,Japan,0.0,0,0,0,460,0.0275994480110397,0.0021978021978021,0.0,96.0,0.8095238095238095,0.0049019607843137,2.5,0.7574750830564784,2.0,0.0008361204013377,1.0,16.492247232834984,8.58408153732401,0.0
GHA,1964,3,21,33,35,Ghana,0,0,1,1,Japan,0.0,0,0,0,2,0.0001199976000479,0.0021978021978021,0.0,96.0,0.1428571428571428,0.0303030303030303,0.09375,0.9,1.3,0.0008361204013377,0.7407407407407407,-4.217099486935968,-4.010378967334168,-0.09999999999999998
HUN,1964,17,21,182,6,Hungary,10,7,5,22,Japan,0.4545454545454545,0,0,0,220,0.0131997360052798,0.0483516483516483,0.4545454545454545,4.363636363636363,0.8095238095238095,0.1208791208791208,-0.1428571428571428,0.7492163009404389,1.9,0.0336538461538461,0.9523809523809524,26.6228949144462,21.76943904015875,-0.023219596495458572
IND,1964,8,21,52,24,India,1,0,0,1,Japan,1.0,0,0,0,11,0.0006599868002639,0.0021978021978021,1.0,96.0,0.3809523809523809,0.0192307692307692,-0.25,0.990990990990991,1.75,0.0843101343101342,0.8888888888888888,4.927574522786999,1.4024827303900635,-0.009009009009009028
IRI,1964,11,21,62,34,Iran,0,0,2,2,Japan,0.0,0,0,0,19,0.0011399772004559,0.0043956043956043,0.0,48.0,0.5238095238095238,0.032258064516129,0.2592592592592592,0.8958333333333334,1.3,0.0008361204013377,0.7407407407407407,12.21282426369613,1.7872405797122988,-0.10416666666666663
IRL,1964,7,21,25,35,Ireland,0,0,1,1,Japan,0.0,0,0,0,10,0.0005999880002399,0.0021978021978021,0.0,96.0,0.3333333333333333,0.04,0.6666666666666666,0.9428571428571428,1.3,0.0008361204013377,0.7407407407407407,2.041938340430205,0.880298314463328,0.022857142857142798
ITA,1964,18,21,167,5,Italy,10,10,7,27,Japan,0.3703703703703703,1,0,0,272,0.0163196736065278,0.0593406593406593,0.3703703703703703,3.555555555555556,0.8571428571428571,0.1616766467065868,0.6666666666666666,0.9296875,1.9,0.0336538461538461,0.9523809523809524,27.64552622962504,28.09922156598204,0.12620491293532343
JPN,1964,21,21,328,3,Japan,16,5,8,29,Japan,0.5517241379310345,0,0,1,121,0.0072598548029039,0.0637362637362637,0.5517241379310345,3.310344827586207,1.0,0.0884146341463414,-0.625,0.7763157894736842,2.0,0.0487179487179487,1.0,34.05960066629433,34.24888000498265,-0.007856872396819425
KEN,1964,5,21,37,35,Kenya,0,0,1,1,Japan,0.0,0,0,0,1,5.999880002399952e-05,0.0021978021978021,0.0,96.0,0.238095238095238,0.027027027027027,0.0,1.0,1.3,0.0008361204013377,0.7407407407407407,-0.6117503880856823,0.6443661835516022,
KOR,1964,17,21,153,27,South Korea,0,2,1,3,Japan,0.0,0,0,0,9,0.0005399892002159,0.0065934065934065,0.0,32.0,0.8095238095238095,0.0196078431372549,-0.0689655172413793,0.8166666666666667,1.3,0.0008361204013377,0.7407407407407407,23.952053805927413,1.5641692366979858,-0.18333333333333335
MEX,1964,15,21,93,35,Mexico,0,0,1,1,Japan,0.0,0,1,0,15,0.0008999820003599,0.0021978021978021,0.0,96.0,0.7142857142857143,0.010752688172043,-0.1463414634146341,0.953125,1.3,0.0008361204013377,0.7407407407407407,16.94203775551147,0.9823576171162564,0.07130681818181817
NED,1964,12,21,125,15,Netherlands,2,4,4,10,Japan,0.2,0,0,0,109,0.0065398692026159,0.0219780219780219,0.2,9.6,0.5714285714285714,0.08,-0.4642857142857143,0.8037974683544303,1.7000000000000002,0.0436932632584806,0.8695652173913043,17.63528213649336,10.810267489983916,0.23504746835443036
NGR,1964,2,21,18,35,Nigeria,0,0,1,1,Japan,0.0,0,0,0,1,5.999880002399952e-05,0.0021978021978021,0.0,96.0,0.0952380952380952,0.0555555555555555,0.0,0.8947368421052632,1.3,0.0008361204013377,0.7407407407407407,-5.571205373773081,0.5974507687610777,
NZL,1964,11,21,63,12,New Zealand,3,0,2,5,Japan,0.6,0,0,0,18,0.0010799784004319,0.0109890109890109,0.6,19.2,0.5238095238095238,0.0793650793650793,-0.1428571428571428,0.7386363636363636,1.9,0.0866452991452991,0.9523809523809524,14.875847265896455,2.5326399309996788,-0.13370406189555128
PAK,1964,7,21,41,30,Pakistan,0,1,0,1,Japan,0.0,0,0,0,4,0.0002399952000959,0.0021978021978021,0.0,96.0,0.3333333333333333,0.024390243902439,0.5,1.0,1.3,0.0008361204013377,0.7407407407407407,2.12714950489484,0.7465488107108444,0.0
PHI,1964,10,21,47,30,Philippines,0,1,0,1,Japan,0.0,0,0,0,6,0.0003599928001439,0.0021978021978021,0.0,96.0,0.4761904761904761,0.0212765957446808,0.0,0.8,1.3,0.0008361204013377,0.7407407407407407,8.081999856757383,0.8147573828326857,-0.19999999999999996
POL,1964,12,21,139,7,Poland,7,6,10,23,Japan,0.3043478260869565,0,0,0,83,0.0049799004019919,0.0505494505494505,0.3043478260869565,4.173913043478261,0.5714285714285714,0.1654676258992805,-0.2222222222222222,0.7416666666666667,2.0,0.1346153846153846,1.0,18.45399828830829,19.76555692306685,-0.033577633007600416
ROU,1964,13,21,138,14,Romania,2,4,6,12,Japan,0.1666666666666666,0,0,0,41,0.0024599508009839,0.0263736263736263,0.1666666666666666,8.0,0.6190476190476191,0.0869565217391304,0.2727272727272727,0.7241379310344828,1.7000000000000002,0.0436932632584806,0.8695652173913043,18.461707970503166,10.051524780661172,0.03824049513704686
SUI,1964,13,21,66,22,Switzerland,1,2,1,4,Japan,0.25,0,0,0,130,0.0077998440031199,0.0087912087912087,0.25,24.0,0.6190476190476191,0.0606060606060606,-0.0833333333333333,0.9844961240310076,1.75,0.0843101343101342,0.8888888888888888,17.832390570984245,4.779975482048355,-0.006454102213336421
SWE,1964,13,21,94,17,Sweden,2,2,4,8,Japan,0.25,0,0,0,366,0.0219595608087838,0.0175824175824175,0.25,12.0,0.6190476190476191,0.0851063829787234,0.0625,0.6971428571428572,1.7000000000000002,0.0436932632584806,0.8695652173913043,18.531108191477458,12.834407842878996,-0.08967884828349937
TCH,1964,13,21,104,9,Czechoslovakia,5,6,3,14,Japan,0.3571428571428571,0,0,0,88,0.0052798944021119,0.0307692307692307,0.3571428571428571,6.857142857142857,0.6190476190476191,0.1346153846153846,-0.1,0.786096256684492,2.0,0.1641025641025641,1.0,19.56081855857905,13.518519507481784,0.02867051411023458
TTO,1964,4,21,13,28,Trinidad and Tobago,0,1,2,3,Japan,0.0,0,0,0,6,0.0003599928001439,0.0065934065934065,0.0,32.0,0.1904761904761904,0.2307692307692307,-0.2432432432432432,1.0,1.3,0.0008361204013377,0.7407407407407407,3.613688564987176,2.5633063780431726,0.0
TUN,1964,3,21,9,29,Tunisia,0,1,1,2,Japan,0.0,0,0,0,2,0.0001199976000479,0.0043956043956043,0.0,48.0,0.1428571428571428,0.2222222222222222,0.0,1.0,1.3,0.0008361204013377,0.7407407407407407,0.5349868686755008,1.7636172245549988,
TUR,1964,4,21,23,16,Turkey,2,3,1,6,Japan,0.3333333333333333,0,0,0,39,0.0023399532009359,0.0131868131868131,0.3333333333333333,16.0,0.1904761904761904,0.2608695652173913,1.6666666666666667,1.0,1.7000000000000002,0.0436932632584806,0.8695652173913043,1.996768533346024,5.693272551564429,0.06896551724137923
URS,1964,19,21,316,2,Soviet Union,30,31,35,96,Japan,0.3125,0,0,0,368,0.0220795584088318,0.210989010989011,0.3125,1.0,0.9047619047619048,0.3037974683544304,1.0,0.755939524838013,2.0,0.025,1.0,30.50226890060046,79.7196995043479,-0.0049300403793783865
URU,1964,4,21,23,35,Uruguay,0,0,1,1,Japan,0.0,0,0,0,9,0.0005399892002159,0.0021978021978021,0.0,96.0,0.1904761904761904,0.0434782608695652,0.0,1.0,1.3,0.0008361204013377,0.7407407407407407,-2.193820542510826,0.8836875634209267,0.0
USA,1964,19,21,344,1,United States,36,26,28,90,Japan,0.4,0,0,0,1223,0.0733785324293514,0.1978021978021978,0.4,1.0666666666666669,0.9047619047619048,0.2616279069767442,-0.96875,0.7235772357723578,2.0,0.0,1.0,32.96145049886059,90.41184773379392,-0.03810500721829646
YUG,1964,9,21,75,19,Yugoslavia,2,1,2,5,Japan,0.4,0,0,0,23,0.0013799724005519,0.0109890109890109,0.4,19.2,0.4285714285714285,0.0666666666666666,0.0555555555555555,0.967479674796748,1.7000000000000002,0.0436932632584806,0.8695652173913043,10.95303789732356,4.020824432061805,0.08639859371566694
ARG,1968,12,20,89,41,Argentina,0,0,2,2,Mexico,0.0,0,0,0,43,0.0025799484010319,0.0038022813688212,0.0,53.5,0.6,0.0224719101123595,0.3666666666666666,0.9318181818181818,1.3953488372093024,0.0022148394241417,0.7678571428571429,14.452001354799105,2.2769740932515896,0.006142506142506221
AUS,1968,16,20,128,9,Australia,5,7,5,17,Mexico,0.2941176470588235,0,0,0,146,0.0087598248035039,0.0323193916349809,0.2941176470588235,6.294117647058823,0.8,0.1328125,0.125,0.7276785714285714,1.8604651162790693,0.0513842746400886,0.9347826086956522,25.89461212078631,19.127511234853976,-0.04017857142857151
AUT,1968,12,20,43,32,Austria,0,2,2,4,Mexico,0.0,0,0,0,62,0.0037199256014879,0.0076045627376425,0.0,26.75,0.6,0.0930232558139534,0.7777777777777778,0.8135593220338984,1.3953488372093024,0.0022148394241417,0.7678571428571429,16.046258334074764,4.518320559333782,0.08628659476117106
BEL,1968,13,20,82,36,Belgium,0,1,1,2,Mexico,0.0,0,0,0,109,0.0065398692026159,0.0038022813688212,0.0,53.5,0.65,0.024390243902439,0.8,0.8490566037735849,1.3953488372093024,0.0022148394241417,0.7678571428571429,15.672564639563564,3.772982408956307,-0.0833758286588474
BRA,1968,13,20,75,35,Brazil,0,1,2,3,Mexico,0.0,0,0,0,14,0.0008399832003359,0.0057034220532319,0.0,35.666666666666664,0.65,0.04,0.0,0.9550561797752808,1.3953488372093024,0.0022148394241417,0.7678571428571429,17.99284233757406,3.1002813814003862,-0.029559204840103992
BUL,1968,13,20,112,18,Bulgaria,2,4,3,9,Mexico,0.2222222222222222,0,0,0,32,0.0019199616007679,0.0171102661596958,0.2222222222222222,11.88888888888889,0.65,0.0803571428571428,0.6363636363636364,0.798941798941799,1.8604651162790693,0.091029900332226,0.9347826086956522,18.78269592291729,6.854330635714637,-0.07174785623061486
CAN,1968,14,20,139,23,Canada,1,3,1,5,Mexico,0.2,0,0,0,107,0.0064198716025679,0.0095057034220532,0.2,21.4,0.7,0.0359712230215827,0.0454545454545454,0.7285223367697594,1.627906976744186,0.0442299917382974,0.8431372549019608,20.510163359984634,5.830880795890597,-0.04467353951890041
CMR,1968,2,20,5,39,Cameroon,0,1,0,1,Mexico,0.0,0,0,0,1,5.999880002399952e-05,0.0019011406844106,0.0,107.0,0.1,0.2,0.0,1.0,1.3953488372093024,0.0022148394241417,0.7678571428571429,-4.524149889135492,1.1641939173092095,
CUB,1968,13,20,115,31,Cuba,0,4,0,4,Mexico,0.0,0,0,0,11,0.0006599868002639,0.0076045627376425,0.0,26.75,0.65,0.0347826086956521,0.0333333333333333,0.7797356828193832,1.3953488372093024,0.0022148394241417,0.7678571428571429,18.382503486551208,2.364393887970063,-0.18079063297009035
DEN,1968,11,20,62,22,Denmark,1,4,3,8,Mexico,0.125,0,0,0,120,0.0071998560028799,0.0152091254752851,0.125,13.375,0.55,0.1290322580645161,0.2222222222222222,0.8924731182795699,1.627906976744186,0.0442299917382974,0.8431372549019608,16.13190979532527,6.903157527457449,0.03331818870210512
ETH,1968,3,20,18,25,Ethiopia,1,1,0,2,Mexico,0.5,0,0,0,4,0.0002399952000959,0.0038022813688212,0.5,53.5,0.15,0.1111111111111111,0.0416666666666666,1.0,1.627906976744186,0.0442299917382974,0.8431372549019608,-0.7049826310302586,0.2378592183289569,0.0
FIN,1968,13,20,66,24,Finland,1,2,1,4,Mexico,0.25,0,0,0,243,0.0145797084058318,0.0076045627376425,0.25,26.75,0.65,0.0606060606060606,1.0,0.9047619047619048,1.627906976744186,0.0442299917382974,0.8431372549019608,17.22563255737154,7.044914700143328,-0.009145380006307269
FRA,1968,16,20,200,6,France,7,3,5,15,Mexico,0.4666666666666667,0,0,0,383,0.0229795404091918,0.0285171102661596,0.4666666666666667,7.133333333333334,0.8,0.075,-0.7142857142857143,0.7363344051446945,1.9534883720930232,0.0682908822443707,0.9772727272727272,26.4903192492818,21.75471864472861,-0.07674970700483819
FRG,1968,17,20,275,8,West Germany,5,11,10,26,Mexico,0.1923076923076923,0,1,0,26,0.0015599688006239,0.0494296577946768,0.1923076923076923,4.115384615384615,0.85,0.0945454545454545,0.0,0.7731481481481481,1.8604651162790693,0.0513842746400886,0.9347826086956522,27.644849232085747,19.192985533916545,
GBR,1968,16,20,225,10,Great Britain,5,5,3,13,Mexico,0.3846153846153846,0,0,0,473,0.0283794324113517,0.0247148288973384,0.3846153846153846,8.23076923076923,0.8,0.0577777777777777,-0.7142857142857143,0.7164634146341463,1.8604651162790693,0.0513842746400886,0.9347826086956522,26.253402355009165,19.10013767654169,-0.04101166842233206
GDR,1968,18,20,225,5,East Germany,9,9,7,25,Mexico,0.36,0,0,0,25,0.0014999700005999,0.0475285171102661,0.36,4.28,0.9,0.1111111111111111,0.0,0.7601156069364162,2.0,0.0866002214839424,1.0,29.64344550236974,21.13863882339958,
GRE,1968,7,20,44,42,Greece,0,0,1,1,Mexico,0.0,0,0,0,59,0.0035399292014159,0.0019011406844106,0.0,107.0,0.35,0.0227272727272727,1.0,1.0,1.3953488372093024,0.0022148394241417,0.7678571428571429,1.380580144209642,1.7385155040289917,0.0
HUN,1968,15,20,166,4,Hungary,10,10,12,32,Mexico,0.3125,0,0,0,252,0.0151196976060478,0.0608365019011406,0.3125,3.34375,0.75,0.1927710843373494,-0.3333333333333333,0.7260726072607261,2.0,0.0664451827242524,1.0,25.507236482192543,29.197542452648182,-0.023143693679712807
IND,1968,5,20,23,42,India,0,0,1,1,Mexico,0.0,0,0,0,12,0.0007199856002879,0.0019011406844106,0.0,107.0,0.25,0.0434782608695652,0.75,1.0,1.3953488372093024,0.0022148394241417,0.7678571428571429,-1.7154642179778736,0.5546728884484091,0.009009009009009028
IRI,1968,3,20,14,19,Iran,2,1,2,5,Mexico,0.4,0,0,0,24,0.0014399712005759,0.0095057034220532,0.4,21.4,0.15,0.3571428571428571,-0.4411764705882353,1.0,1.8604651162790693,0.091029900332226,0.9347826086956522,4.295794110379061,5.722737455314254,0.10416666666666663
ITA,1968,17,20,167,13,Italy,3,4,9,16,Mexico,0.1875,0,0,0,288,0.0172796544069118,0.0304182509505703,0.1875,6.6875,0.85,0.0958083832335329,1.6,0.8768656716417911,1.813953488372093,0.0602752728998576,0.9148936170212766,25.163339620950136,18.212656301052743,-0.05282182835820892
JAM,1968,5,20,25,39,Jamaica,0,1,0,1,Mexico,0.0,0,0,0,9,0.0005399892002159,0.0019011406844106,0.0,107.0,0.25,0.04,2.0,0.6857142857142857,1.3953488372093024,0.0022148394241417,0.7678571428571429,-3.5889642254124583,1.1104627966448335,-0.12678571428571428
JPN,1968,18,20,171,3,Japan,11,7,7,25,Mexico,0.44,1,0,0,146,0.0087598248035039,0.0475285171102661,0.44,4.28,0.9,0.1461988304093567,0.0,0.7716262975778547,2.0,0.0454042081949058,1.0,30.00273490393236,33.06916868663074,-0.004689491895829456
KEN,1968,4,20,39,14,Kenya,3,4,2,9,Mexico,0.3333333333333333,0,0,0,10,0.0005999880002399,0.0171102661596958,0.3333333333333333,11.88888888888889,0.2,0.2307692307692307,-0.6,0.94,1.813953488372093,0.0602752728998576,0.9148936170212766,5.598234875488187,6.809367515199402,-0.06000000000000005
KOR,1968,11,20,54,36,South Korea,0,1,1,2,Mexico,0.0,0,0,0,11,0.0006599868002639,0.0038022813688212,0.0,53.5,0.55,0.037037037037037,0.3333333333333333,0.7727272727272727,1.3953488372093024,0.0022148394241417,0.7678571428571429,12.812101835297018,0.8872267202624307,-0.043939393939393945
MEX,1968,20,20,272,15,Mexico,3,3,3,9,Mexico,0.3333333333333333,0,0,1,24,0.0014399712005759,0.0171102661596958,0.3333333333333333,11.88888888888889,1.0,0.0330882352941176,-0.5714285714285714,0.7690582959641256,1.813953488372093,0.0602752728998576,0.9148936170212766,32.940870134316384,8.417515178882121,-0.18406670403587444
MGL,1968,4,20,16,34,Mongolia,0,1,3,4,Mexico,0.0,0,0,0,4,0.0002399952000959,0.0076045627376425,0.0,26.75,0.2,0.25,0.0,0.5789473684210527,1.3953488372093024,0.0022148394241417,0.7678571428571429,4.092808783062661,2.429895691436281,
NED,1968,11,20,107,17,Netherlands,3,3,1,7,Mexico,0.4285714285714285,0,0,0,116,0.0069598608027839,0.0133079847908745,0.4285714285714285,15.285714285714286,0.55,0.0654205607476635,0.1333333333333333,0.6928571428571428,1.813953488372093,0.0602752728998576,0.9148936170212766,15.50578681131618,8.360436298149132,-0.1109403254972875
NOR,1968,11,20,46,25,Norway,1,1,0,2,Mexico,0.5,0,0,0,94,0.0056398872022559,0.0038022813688212,0.5,53.5,0.55,0.0434782608695652,0.1904761904761904,0.5465116279069767,1.627906976744186,0.0442299917382974,0.8431372549019608,13.088102171550137,3.6768978868533697,-0.43348837209302327
NZL,1968,8,20,52,27,New Zealand,1,0,2,3,Mexico,0.3333333333333333,0,0,0,21,0.0012599748005039,0.0057034220532319,0.3333333333333333,35.666666666666664,0.4,0.0576923076923076,1.25,0.7846153846153846,1.627906976744186,0.0442299917382974,0.8431372549019608,7.14585874372155,1.931478022051472,0.04597902097902096
PAK,1968,2,20,15,29,Pakistan,1,0,0,1,Mexico,1.0,0,0,0,5,0.0002999940001199,0.0019011406844106,1.0,107.0,0.1,0.0666666666666666,-0.0333333333333333,1.0,1.627906976744186,0.0442299917382974,0.8431372549019608,-5.840439388597562,2.087681102841266,0.0
POL,1968,16,20,177,11,Poland,5,2,11,18,Mexico,0.2777777777777778,0,0,0,101,0.0060598788024239,0.0342205323193916,0.2777777777777778,5.944444444444445,0.8,0.1016949152542373,0.5714285714285714,0.7398648648648649,1.8604651162790693,0.0513842746400886,0.9347826086956522,24.938886822747573,11.573017856013848,-0.0018018018018017834
ROU,1968,9,20,82,12,Romania,4,6,5,15,Mexico,0.2666666666666666,0,0,0,56,0.0033599328013439,0.0285171102661596,0.2666666666666666,7.133333333333334,0.45,0.1829268292682926,-0.1428571428571428,0.79,2.0,0.203765227021041,1.0,13.88891664515952,13.76051343391617,0.06586206896551727
SUI,1968,12,20,85,33,Switzerland,0,1,4,5,Mexico,0.0,0,0,0,135,0.0080998380032399,0.0095057034220532,0.0,21.4,0.6,0.0588235294117647,0.5,0.9483870967741936,1.3953488372093024,0.0022148394241417,0.7678571428571429,16.399737998312364,5.912418722476657,-0.036109027256813975
SWE,1968,13,20,100,20,Sweden,2,1,1,4,Mexico,0.5,0,0,0,370,0.0221995560088798,0.0076045627376425,0.5,26.75,0.65,0.04,0.1764705882352941,0.8064516129032258,1.8604651162790693,0.091029900332226,0.9347826086956522,18.225472580039376,10.297151670064435,0.10930875576036858
TCH,1968,14,20,121,7,Czechoslovakia,7,2,4,13,Mexico,0.5384615384615384,0,0,0,101,0.0060598788024239,0.0247148288973384,0.5384615384615384,8.23076923076923,0.7,0.1074380165289256,-0.2222222222222222,0.7044334975369458,1.9534883720930232,0.0682908822443707,0.9772727272727272,22.36232043815664,9.82309388568514,-0.08166275914754617
TUN,1968,2,20,7,28,Tunisia,1,0,1,2,Mexico,0.5,0,0,0,4,0.0002399952000959,0.0038022813688212,0.5,53.5,0.1,0.2857142857142857,-0.0344827586206896,1.0,1.627906976744186,0.0442299917382974,0.8431372549019608,-0.6431800898647956,2.265222324874713,0.0
TUR,1968,4,20,29,21,Turkey,2,0,0,2,Mexico,1.0,0,0,0,41,0.0024599508009839,0.0038022813688212,1.0,53.5,0.2,0.0689655172413793,0.3125,1.0,1.8604651162790693,0.091029900332226,0.9347826086956522,0.3033019951213727,0.0197750532433809,0.0
UGA,1968,2,20,11,36,Uganda,0,1,1,2,Mexico,0.0,0,0,0,2,0.0001199976000479,0.0038022813688212,0.0,53.5,0.1,0.1818181818181818,0.0,1.0,1.3953488372093024,0.0022148394241417,0.7678571428571429,-1.7577502404654444,1.7493096993311148,
URS,1968,18,20,311,2,Soviet Union,29,32,30,91,Mexico,0.3186813186813186,0,0,0,459,0.0275394492110157,0.1730038022813688,0.3186813186813186,1.175824175824176,0.9,0.292604501607717,0.0,0.7388535031847133,2.0,0.0232558139534883,1.0,31.67320642572707,76.10631910150701,-0.017086021653299643
USA,1968,18,20,355,1,United States,45,28,34,107,Mexico,0.4205607476635514,0,0,0,1330,0.0797984040319193,0.2034220532319391,0.4205607476635514,1.0,0.9,0.3014084507042253,0.0,0.7126654064272212,2.0,0.0,1.0,31.773060092068302,94.2987598537474,-0.01091182934513657
VEN,1968,5,20,23,29,Venezuela,1,0,0,1,Mexico,1.0,0,0,0,3,0.0001799964000719,0.0019011406844106,1.0,107.0,0.25,0.0434782608695652,-0.2926829268292683,1.0,1.627906976744186,0.0442299917382974,0.8431372549019608,-0.1824004263852987,1.461970578486227,0.16666666666666663
YUG,1968,11,20,69,16,Yugoslavia,3,3,2,8,Mexico,0.375,0,0,0,31,0.0018599628007439,0.0152091254752851,0.375,13.375,0.55,0.1159420289855072,-0.1578947368421052,0.8153846153846154,1.813953488372093,0.0602752728998576,0.9148936170212766,16.556757696551788,7.790229106414587,-0.15209505941213264
ARG,1972,12,23,92,33,Argentina,0,1,0,1,West Germany,0.0,0,0,0,44,0.0026399472010559,0.0016666666666666,0.0,99.0,0.5217391304347826,0.0108695652173913,-0.1951219512195122,0.91869918699187,1.0416666666666663,0.0001834189288334,0.676056338028169,9.77117534731413,2.5665443056528403,-0.013118994826311736
AUS,1972,20,23,168,6,Australia,8,7,2,17,West Germany,0.4705882352941176,0,0,0,163,0.0097798044039119,0.0283333333333333,0.4705882352941176,5.823529411764706,0.8695652173913043,0.1011904761904761,-0.3333333333333333,0.7255639097744361,2.0,0.0961879432624113,1.0,28.82796326606826,18.94204510994216,-0.002114661654135319
AUT,1972,15,23,111,31,Austria,0,1,2,3,West Germany,0.0,0,0,0,65,0.0038999220015599,0.005,0.0,33.0,0.6521739130434783,0.027027027027027,-0.03125,0.8531468531468531,1.0416666666666663,0.0001834189288334,0.676056338028169,18.133033739536447,3.243875487377138,0.039587531112954766
BEL,1972,14,23,88,29,Belgium,0,2,0,2,West Germany,0.0,0,0,0,111,0.0066598668026639,0.0033333333333333,0.0,49.5,0.6086956521739131,0.0227272727272727,-0.1944444444444444,0.9245283018867924,1.0416666666666663,0.0001834189288334,0.676056338028169,15.820036481374178,4.078790860590774,0.07547169811320742
BRA,1972,13,23,80,41,Brazil,0,0,2,2,West Germany,0.0,0,0,0,16,0.0009599808003839,0.0033333333333333,0.0,49.5,0.5652173913043478,0.025,0.1714285714285714,0.9326923076923076,1.0416666666666663,0.0001834189288334,0.676056338028169,13.7070561203943,1.7161072368316188,-0.02236387208297319
BUL,1972,15,23,129,9,Bulgaria,6,10,5,21,West Germany,0.2857142857142857,0,0,0,53,0.0031799364012719,0.035,0.2857142857142857,4.714285714285714,0.6521739130434783,0.1627906976744186,-0.5,0.7389380530973452,1.9583333333333333,0.08274231678487,0.979591836734694,21.7734678008848,19.76576348251453,-0.06000374584445378
CAN,1972,18,23,207,27,Canada,0,2,3,5,West Germany,0.0,0,1,0,112,0.0067198656026879,0.0083333333333333,0.0,19.8,0.782608695652174,0.0241545893719806,0.1739130434782608,0.686046511627907,1.0416666666666663,0.0001834189288334,0.676056338028169,23.32537514739497,4.6966058481841335,-0.04247582514185244
COL,1972,8,23,59,31,Colombia,0,1,2,3,West Germany,0.0,0,0,0,3,0.0001799964000719,0.005,0.0,33.0,0.3478260869565217,0.0508474576271186,0.0,0.84,1.0416666666666663,0.0001834189288334,0.676056338028169,7.142853317257859,2.378747289483381,
CUB,1972,14,23,137,14,Cuba,3,1,4,8,West Germany,0.375,0,0,0,19,0.0011399772004559,0.0133333333333333,0.375,12.375,0.6086956521739131,0.0583941605839416,-0.5483870967741935,0.8258706467661692,1.875,0.0714982269503546,0.9411764705882352,18.754528313598527,9.19615831620084,0.046134963946785956
DEN,1972,17,23,126,25,Denmark,1,0,0,1,West Germany,1.0,0,0,0,121,0.0072598548029039,0.0016666666666666,1.0,99.0,0.7391304347826086,0.0079365079365079,0.1363636363636363,0.8838709677419355,1.875,0.1516400709219857,0.9411764705882352,17.245290740017726,4.563851649469061,-0.008602150537634357
ESP,1972,17,23,122,43,Spain,0,0,1,1,West Germany,0.0,0,0,0,9,0.0005399892002159,0.0016666666666666,0.0,99.0,0.7391304347826086,0.0081967213114754,0.048780487804878,0.9444444444444444,1.0416666666666663,0.0001834189288334,0.676056338028169,17.376729357779208,1.6343319856896072,0.11671335200746968
ETH,1972,3,23,31,41,Ethiopia,0,0,2,2,West Germany,0.0,0,0,0,6,0.0003599928001439,0.0033333333333333,0.0,49.5,0.1304347826086956,0.064516129032258,0.64,1.0,1.0416666666666663,0.0001834189288334,0.676056338028169,-2.5603217767933706,2.0620238764208536,0.0
FIN,1972,16,23,96,14,Finland,3,1,4,8,West Germany,0.375,0,0,0,251,0.0150596988060238,0.0133333333333333,0.375,12.375,0.6956521739130435,0.0833333333333333,-0.4166666666666667,0.8646616541353384,1.875,0.0714982269503546,0.9411764705882352,22.012843581803367,11.60168665337154,-0.040100250626566414
FRA,1972,18,23,227,17,France,2,4,7,13,West Germany,0.1538461538461538,0,0,0,396,0.0237595248095038,0.0216666666666666,0.1538461538461538,7.615384615384615,0.782608695652174,0.0572687224669603,1.8333333333333333,0.7921348314606742,1.8333333333333333,0.0671371507761823,0.9230769230769232,21.897047451635604,14.731549801104572,0.0558004263159797
FRG,1972,23,23,424,4,West Germany,13,11,16,40,West Germany,0.325,0,0,1,66,0.0039599208015839,0.0666666666666666,0.325,2.475,1.0,0.0943396226415094,-0.5,0.747870528109029,1.9583333333333333,0.0390070921985815,0.979591836734694,33.98258401097315,40.64589149036576,-0.025277620039119153
