NOC,Year,M,P,A,Rank,Country,Gold,Silver,Bronze,Total,Host,Gold_Ratio,Pre_Host,Post_Host,Host_Flag,Cumulative_Total,CMR,RPI,GCR,MCI,ECR,ME,RIR,GR,Degree Centrality,Betweenness Centrality,Closeness Centrality,predicted_NR,delta_GR,T_c,S_c,Coach_Effect,EI,ESP,ECR_Large,ECR_Small
AUT,1948,17,20,148,21,Austria,1,0,3,4,United Kingdom,0.25,0,0,0,52,0.0031199376012479,0.0097560975609756,0.25,21.0,0.0,0.0203961341799179,1.1,0.8242677824267782,1.7777777777777777,0.0978231292517006,0.9,2.378266621373902,-0.1068616941572437,3.769230769230769,-16.972972972972972,-2.453430353430353,0.0,0.0067567567567567,0.85,0.5098039215686274
BEL,1948,17,20,151,15,Belgium,2,2,3,7,United Kingdom,0.2857142857142857,0,0,0,94,0.0056398872022559,0.0170731707317073,0.2857142857142857,12.0,1.3439270944856545,0.0528889741677996,-0.4642857142857143,0.8736263736263736,1.7777777777777777,0.0664967975494291,0.9,16.817389727313863,-0.1019833824711873,6.0,-9.30364238410596,1.4089072847682114,0.0,0.0198675496688741,0.85,0.4901960784313725
BRA,1948,11,20,70,34,Brazil,0,0,1,1,United Kingdom,0.0,0,0,0,4,0.0002399952000959,0.0024390243902439,0.0,84.0,0.0,0.0021775510204081,1.2666666666666666,0.7904761904761904,1.2777777777777777,0.0008354218880534,0.7346938775510204,-0.2524499406594805,-0.2095238095238095,7.45,-45.63571428571429,-8.475714285714288,0.0,0.0285714285714285,0.55,0.261437908496732
CAN,1948,13,20,127,25,Canada,0,1,2,3,United Kingdom,0.0,0,0,0,88,0.0052798944021119,0.0073170731707317,0.0,28.0,1.244990650977564,0.0314117531568395,0.4705882352941176,0.8297872340425532,1.2777777777777777,0.0008354218880534,0.7346938775510204,14.756187933930166,-0.0085361192508599,12.22222222222222,-17.526377952755908,3.297642169728781,0.0,0.0236220472440944,0.65,0.5359477124183006
CUB,1948,12,20,53,28,Cuba,0,1,0,1,United Kingdom,0.0,0,0,0,6,0.0003599928001439,0.0024390243902439,0.0,84.0,0.0,0.0095932271270914,6.0,1.0,1.2777777777777777,0.0008354218880534,0.7346938775510204,-2.167782543585087,0.0,14.3125,-49.781132075471696,-4.915589622641509,0.0,0.0566037735849056,0.55,0.196078431372549
DEN,1948,17,20,160,10,Denmark,5,7,8,20,United Kingdom,0.25,0,0,0,90,0.0053998920021599,0.048780487804878,0.25,4.2,2.212950928681996,0.17933125,-0.5652173913043478,0.8853754940711462,1.8888888888888888,0.083068783068783,0.9473684210526316,26.1432434486061,0.0067627773081404,7.321428571428571,-2.595,4.346499999999999,0.0,0.01875,0.85,0.5294117647058824
EGY,1948,12,20,85,16,Egypt,2,2,1,5,United Kingdom,0.4,0,0,0,14,0.0008399832003359,0.0121951219512195,0.4,16.8,-1.3689265532696402,0.0557861591695501,0.0,1.0,1.7777777777777777,0.0664967975494291,0.9,-10.511488496541643,0.0,3.3,-9.421176470588236,-0.5163529411764709,0.0,0.0352941176470588,0.6,0.3464052287581699
ESP,1948,11,20,65,28,Spain,0,1,0,1,United Kingdom,0.0,0,0,0,6,0.0003599928001439,0.0024390243902439,0.0,84.0,0.0,0.0034763313609467,0.0769230769230769,1.0,1.2777777777777777,0.0008354218880534,0.7346938775510204,0.2374470296867755,0.0,8.5,-45.634615384615394,-7.740384615384618,0.0,0.0153846153846153,0.55,0.2352941176470588
FIN,1948,16,20,129,6,Finland,8,7,5,20,United Kingdom,0.4,0,1,0,192,0.0115197696046079,0.048780487804878,0.4,4.2,2.449015996683165,0.2758218857039839,0.2,0.9674418604651164,1.9444444444444444,0.0664021164021163,0.972972972972973,28.434369629046664,0.0212053013253313,12.16,-2.404961240310078,7.790511627906975,0.0357142857142857,0.0620155038759689,0.8,0.5294117647058824
FRA,1948,20,20,316,3,France,10,6,13,29,United Kingdom,0.3448275862068966,0,0,0,316,0.0189596208075838,0.0707317073170731,0.3448275862068966,2.896551724137931,4.149118107942409,0.2604741828232653,-0.5,0.8845265588914549,1.9444444444444444,0.0353174603174602,0.972972972972973,45.62391821295621,-0.0725691506795023,27.03448275862069,-1.804779572239197,18.382704059362723,0.0396039603960396,0.0126582278481012,1.0,0.8627450980392157
GBR,1948,20,20,406,12,Great Britain,3,14,6,23,United Kingdom,0.1304347826086956,0,0,0,380,0.0227995440091198,0.0560975609756097,0.1304347826086956,3.652173913043478,3.900627223751591,0.1403105059461496,0.0,0.8271186440677966,1.9444444444444444,0.1419501133786847,0.972972972972973,42.59850412770516,-0.0008813559322033,22.2093023255814,-2.5955236667380595,14.767854527885556,0.0,0.0073891625615763,1.0,0.8888888888888888
HUN,1948,15,20,128,4,Hungary,10,5,12,27,United Kingdom,0.3703703703703703,0,0,0,109,0.0065398692026159,0.0658536585365853,0.3703703703703703,3.111111111111111,2.61643018876478,0.4817059326171875,0.3333333333333333,0.8783783783783784,1.9444444444444444,0.0353174603174602,0.972972972972973,30.63811996870532,-0.0499798305768456,18.925925925925927,-1.3723958333333337,12.836429398148148,0.0,0.015625,0.75,0.4967320261437908
IND,1948,10,20,79,22,India,1,0,0,1,United Kingdom,1.0,0,0,0,6,0.0003599928001439,0.0024390243902439,1.0,84.0,0.0,-0.0015108493072129,0.1,1.0,1.7777777777777777,0.0978231292517006,0.9,0.2146563546828519,0.0,1.7894736842105263,-41.4873417721519,-11.193570952698202,0.0,0.1139240506329113,0.5,0.2549019607843137
IRI,1948,5,20,36,34,Iran,0,0,1,1,United Kingdom,0.0,0,0,0,1,5.999880002399952e-05,0.0024390243902439,0.0,84.0,-0.0385404892266002,0.0197739651416121,0.0,1.0,1.2777777777777777,0.0008354218880534,0.7346938775510204,-0.0704015489339233,0.0,4.764705882352941,-20.72222222222222,-2.881372549019608,0.0,0.0277777777777777,0.25,0.1503267973856209
ITA,1948,16,20,215,5,Italy,8,11,8,27,United Kingdom,0.2962962962962963,0,0,0,163,0.0097798044039119,0.0658536585365853,0.2962962962962963,3.111111111111111,2.980194052922472,0.3225289345592211,0.25,0.9193548387096774,1.9444444444444444,0.0664021164021163,0.972972972972973,33.86031744172032,-0.0233385710324429,23.07407407407408,-1.563307493540052,15.682859603789831,0.0,0.041860465116279,0.8,0.5620915032679739
JAM,1948,3,20,13,20,Jamaica,1,2,0,3,United Kingdom,0.3333333333333333,0,0,0,3,0.0001799964000719,0.0073170731707317,0.3333333333333333,28.0,0.0619879882717109,0.2901457100591715,0.0,0.6538461538461539,1.7777777777777777,0.0978231292517006,0.9,3.88700393705908,0.0,5.3125,-3.819230769230769,2.572980769230769,0.0,0.0769230769230769,0.15,0.0915032679738562
KOR,1948,7,20,46,32,South Korea,0,0,2,2,United Kingdom,0.0,0,0,0,2,0.0001199976000479,0.0048780487804878,0.0,42.0,0.6475677301553662,0.0785260202379628,0.0,0.9791666666666666,1.2777777777777777,0.0008354218880534,0.7346938775510204,8.580062156280885,0.0,17.647058823529413,-14.306521739130435,8.06098465473146,0.0,0.1956521739130435,0.35,0.1568627450980392
MEX,1948,14,20,88,17,Mexico,2,1,2,5,United Kingdom,0.4,0,0,0,10,0.0005999880002399,0.0121951219512195,0.4,16.8,0.0,0.0518885158402203,-0.3928571428571428,0.9395973154362416,1.7777777777777777,0.0664967975494291,0.9,3.240534719584626,-0.0604026845637584,3.4761904761904763,-11.00318181818182,-0.8676212121212123,0.0,0.1590909090909091,0.7,0.3725490196078431
NED,1948,18,20,149,11,Netherlands,5,2,9,16,United Kingdom,0.3125,0,0,0,91,0.0054598908021839,0.0390243902439024,0.3125,5.25,2.821855648961751,0.1882096371265326,0.2222222222222222,0.7540106951871658,1.8888888888888888,0.083068783068783,0.9473684210526316,31.853345931563155,-0.1050201418172395,12.346153846153848,-3.71761744966443,7.527022457408364,0.0,0.0201342281879194,0.9,0.4705882352941176
NOR,1948,12,20,81,19,Norway,1,3,3,7,United Kingdom,0.1428571428571428,0,0,0,83,0.0049799004019919,0.0170731707317073,0.1428571428571428,12.0,1.0400444777237283,0.1089746684956561,0.0555555555555555,0.9381443298969072,1.7777777777777777,0.0978231292517006,0.9,13.735635481224309,-0.0261413843888072,6.52,-6.51358024691358,2.6099259259259253,0.0,0.037037037037037,0.6,0.3071895424836601
PAN,1948,1,20,1,32,Panama,0,0,2,2,United Kingdom,0.0,0,0,0,2,0.0001199976000479,0.0048780487804878,0.0,42.0,0.0445547282015006,2.1836666666666664,0.0,1.0,1.2777777777777777,0.0008354218880534,0.7346938775510204,8.226074575769886,0.0,1.3333333333333333,-0.0500000000000002,0.9183333333333332,0.0,1.0,0.05,0.0130718954248366
PER,1948,7,20,41,22,Peru,1,0,0,1,United Kingdom,1.0,0,0,0,1,5.999880002399952e-05,0.0024390243902439,1.0,84.0,0.0,0.0048593099345627,0.0,1.0,1.7777777777777777,0.0978231292517006,0.9,0.2726001811668308,0.0,1.0,-29.02560975609756,-8.007682926829268,0.0,0.2682926829268293,0.35,0.1699346405228758
POL,1948,5,20,38,34,Poland,0,0,1,1,United Kingdom,0.0,0,0,0,26,0.0015599688006239,0.0024390243902439,0.0,84.0,-0.0279733645542069,0.0349908713170485,0.5454545454545454,0.8653846153846154,1.2777777777777777,0.0008354218880534,0.7346938775510204,-0.1476592577939309,-0.0272707518470229,13.590909090909092,-20.723684210526315,3.296531100478469,0.0,0.0263157894736842,0.25,0.1830065359477124
POR,1948,8,20,48,26,Portugal,0,1,1,2,United Kingdom,0.0,0,0,0,5,0.0002999940001199,0.0048780487804878,0.0,42.0,0.0,0.0263229166666666,-0.1333333333333333,1.0,1.2777777777777777,0.0008354218880534,0.7346938775510204,2.060450221005261,0.0,1.75,-16.358333333333334,-3.6825,0.0,0.0625,0.4,0.130718954248366
PUR,1948,3,20,9,34,Puerto Rico,0,0,1,1,United Kingdom,0.0,0,0,0,1,5.999880002399952e-05,0.0024390243902439,0.0,84.0,0.0739659288059343,0.0806759259259259,0.0,1.0,1.2777777777777777,0.0008354218880534,0.7346938775510204,1.2105752105246717,0.0,1.375,-12.338888888888889,-2.7391666666666663,0.0,0.1111111111111111,0.15,0.0522875816993464
RSA,1948,10,20,35,18,South Africa,2,1,1,4,United Kingdom,0.5,0,0,0,34,0.0020399592008159,0.0097560975609756,0.5,21.0,0.2389784017267344,0.1191286788399569,-0.28,0.9534883720930232,1.7777777777777777,0.0664967975494291,0.9,5.581401931078146,0.1757105943152453,4.842105263157895,-9.885714285714286,0.4237593984962404,0.0,0.0285714285714285,0.5,0.2222222222222222
SUI,1948,19,20,186,9,Switzerland,5,10,5,20,United Kingdom,0.25,0,0,0,105,0.0062998740025199,0.048780487804878,0.25,4.2,2.571652124921581,0.1549370640151077,-0.1818181818181818,0.9651567944250872,1.8888888888888888,0.083068783068783,0.9473684210526316,29.48526967511882,-0.0165505226480836,7.555555555555555,-2.93247311827957,4.409146953405018,0.0,0.010752688172043,0.95,0.6274509803921569
SWE,1948,18,20,180,2,Sweden,16,11,17,44,United Kingdom,0.3636363636363636,0,0,0,298,0.0178796424071518,0.1073170731707317,0.3636363636363636,1.9090909090909087,3.3799935924058784,0.5615456790123456,-0.7142857142857143,0.8878923766816144,2.0,0.0277777777777777,1.0,38.91507963132639,-0.051501562712325,18.77777777777778,-0.5737373737373734,12.972323232323232,0.0,0.0111111111111111,0.9,0.6339869281045751
TCH,1948,11,20,87,8,Czechoslovakia,6,2,3,11,United Kingdom,0.5454545454545454,0,0,0,47,0.0028199436011279,0.0268292682926829,0.5454545454545454,7.636363636363637,1.2788884892941952,0.1938330360681728,-0.3846153846153846,0.9019607843137256,1.9444444444444444,0.0948412698412698,0.972972972972973,16.69015214446258,-0.0400187378705747,9.125,-3.5235632183908048,5.330431034482758,0.0,0.0344827586206896,0.55,0.3725490196078431
TTO,1948,3,20,5,28,Trinidad and Tobago,0,1,0,1,United Kingdom,0.0,0,0,0,1,5.999880002399952e-05,0.0024390243902439,0.0,84.0,0.0430282858903734,0.1531,0.0,1.0,1.2777777777777777,0.0008354218880534,0.7346938775510204,1.0971284602818665,0.0,1.9,-12.25,-2.345,0.0,0.2,0.15,0.0588235294117647
TUR,1948,7,20,58,7,Turkey,6,4,2,12,United Kingdom,0.5,0,0,0,14,0.0008399832003359,0.0292682926829268,0.5,7.0,0.5361856189992116,0.273996829171621,-0.631578947368421,0.9885057471264368,1.9444444444444444,0.0948412698412698,0.972972972972973,9.651595740567398,0.0207638116425658,5.444444444444445,-1.8931034482758613,3.2431800766283523,0.0,0.0344827586206896,0.35,0.2745098039215686
URU,1948,11,20,61,26,Uruguay,0,1,1,2,United Kingdom,0.0,0,0,0,5,0.0002999940001199,0.0048780487804878,0.0,42.0,0.0,0.0135076592313893,0.0,0.9873417721518988,1.2777777777777777,0.0008354218880534,0.7346938775510204,1.9716181047618784,-0.0126582278481012,1.25,-22.5172131147541,-5.880163934426229,0.0,0.1311475409836065,0.55,0.2026143790849673
USA,1948,19,20,289,1,United States,38,27,19,84,United Kingdom,0.4523809523809524,0,0,0,911,0.0546589068218635,0.2048780487804878,0.4523809523809524,1.0,5.125918810088001,2.1538004111293096,-0.5,0.8632075471698113,2.0,0.0,1.0,60.475608098779176,-0.0176959435899423,91.44827586206895,0.2906574394463668,64.10099033528219,0.0368852459016393,0.0311418685121107,0.95,0.803921568627451
YUG,1948,8,20,90,24,Yugoslavia,0,2,0,2,United Kingdom,0.0,0,0,0,10,0.0005999880002399,0.0048780487804878,0.0,42.0,-0.4040682903652412,0.0205259259259259,-0.04,0.925925925925926,1.2777777777777777,0.0008354218880534,0.7346938775510204,-2.00811162082704,0.0126311282380648,5.928571428571429,-16.37777777777778,-0.7633333333333336,0.0,0.0444444444444444,0.4,0.2287581699346405
ARG,1952,15,19,123,19,Argentina,1,2,2,5,Finland,0.2,0,0,0,36,0.0021599568008639,0.0108695652173913,0.2,15.2,0.0,0.037983891167538,0.4615384615384615,0.896551724137931,1.5813953488372092,0.0441961139635557,0.8269230769230769,2.917825889866021,-0.0356516656925773,3.85,-11.169875909285407,-0.6559627727856223,0.0,0.024390243902439,0.7894736842105263,0.4899328859060403
AUS,1952,12,19,81,9,Australia,6,2,3,11,Finland,0.5454545454545454,0,1,0,54,0.0032399352012959,0.0239130434782608,0.5454545454545454,6.909090909090909,2.107055631829802,0.3162036435395758,-0.3571428571428571,0.8714285714285714,1.9069767441860463,0.0581395348837209,0.9555555555555556,25.264435362658517,0.0461858529819695,20.51851851851852,-3.59625494713214,13.28408647882332,0.0,0.0246913580246913,0.631578947368421,0.436241610738255
AUT,1952,16,19,112,32,Austria,0,1,1,2,Finland,0.0,0,0,0,54,0.0032399352012959,0.0043478260869565,0.0,38.0,0.0,0.0058865183219036,0.5238095238095238,0.7058823529411765,1.255813953488372,0.0020764119601328,0.7288135593220338,1.8966578536855925,-0.1183854294856017,3.769230769230769,-31.14003759398496,-6.703549739733949,0.0,0.0089285714285714,0.8421052631578947,0.4630872483221476
BEL,1952,16,19,134,14,Belgium,2,2,0,4,Finland,0.5,0,0,0,98,0.0058798824023519,0.008695652173913,0.5,19.0,-1.777219073600192,0.0288405576203819,-0.0666666666666666,0.9565217391304348,1.7674418604651163,0.0463732004429679,0.8958333333333334,-14.701027586233,0.0828953655040611,6.0,-15.128043990573447,-0.3384131971720343,0.0,0.0074626865671641,0.8421052631578947,0.4899328859060403
BRA,1952,14,19,97,24,Brazil,1,0,2,3,Finland,0.3333333333333333,0,0,0,7,0.0004199916001679,0.0065217391304347,0.3333333333333333,25.33333333333333,-0.3081170817254994,0.0304494772642094,-0.2941176470588235,0.9327731092436976,1.5813953488372092,0.0441961139635557,0.8269230769230769,-0.2592344282444558,0.1422969187675071,7.45,-17.898896726351957,-0.1546690179055874,0.0,0.1134020618556701,0.7368421052631579,0.3288590604026846
BUL,1952,8,19,63,40,Bulgaria,0,0,1,1,Finland,0.0,0,0,0,1,5.999880002399952e-05,0.0021739130434782,0.0,76.0,-0.0659916781167666,0.0155488628199817,0.0,0.6759776536312849,1.255813953488372,0.0020764119601328,0.7288135593220338,-0.0352644008943135,0.0,13.235294117647058,-31.563074352548032,-0.2042164234114682,0.0,0.1269841269841269,0.4210526315789473,0.2281879194630872
CAN,1952,13,19,107,21,Canada,1,2,0,3,Finland,0.3333333333333333,0,0,0,91,0.0054598908021839,0.0065217391304347,0.3333333333333333,25.33333333333333,1.4325178263139569,0.0380445698927201,-0.16,0.8311688311688312,1.5813953488372092,0.0441961139635557,0.8269230769230769,17.001462333045502,0.001381597126278,12.22222222222222,-16.621085423839972,3.569229928403562,0.0,0.0093457943925233,0.6842105263157895,0.4765100671140939
CHI,1952,9,19,59,31,Chile,0,2,0,2,Finland,0.0,0,0,0,3,0.0001799964000719,0.0043478260869565,0.0,38.0,0.0,0.0205585584904518,0.0333333333333333,0.9390243902439024,1.255813953488372,0.0020764119601328,0.7288135593220338,2.1364779871922366,-0.0609756097560976,1.875,-17.492417484388934,-3.93522524531668,0.0,0.0169491525423728,0.4736842105263157,0.2214765100671141
DEN,1952,15,19,128,15,Denmark,2,1,3,6,Finland,0.3333333333333333,0,0,0,96,0.0057598848023039,0.0130434782608695,0.3333333333333333,12.666666666666666,1.4941747739862823,0.058012052837171,0.5,0.900497512437811,1.7674418604651163,0.0463732004429679,0.8958333333333334,17.90314854057271,0.0151220183666647,7.321428571428571,-9.163651315789473,2.3759046052631576,0.0,0.0234375,0.7894736842105263,0.4765100671140939
EGY,1952,14,19,106,40,Egypt,0,0,1,1,Finland,0.0,0,0,0,15,0.0008999820003599,0.0021739130434782,0.0,76.0,0.0,-0.004024638848813,1.5,1.0,1.255813953488372,0.0020764119601328,0.7288135593220338,-0.0452454633608225,0.0,3.3,-55.25372393247269,-14.266117179741808,0.0,0.0283018867924528,0.7368421052631579,0.436241610738255
ESP,1952,7,19,27,34,Spain,0,1,0,1,Finland,0.0,0,0,0,7,0.0004199916001679,0.0021739130434782,0.0,76.0,0.0,0.0284134719514836,0.2142857142857142,1.0,1.255813953488372,0.0020764119601328,0.7288135593220338,0.5672806036605961,0.0,8.5,-27.594541910331383,-2.328362573099416,0.0,0.2962962962962963,0.3684210526315789,0.1409395973154362
FIN,1952,18,19,258,8,Finland,6,3,13,22,Finland,0.2727272727272727,0,0,1,214,0.0128397432051358,0.0478260869565217,0.2727272727272727,3.4545454545454546,3.0513392065785703,0.1521238070839618,0.3333333333333333,0.7864077669902912,1.9069767441860463,0.0581395348837209,0.9555555555555556,34.06310145422472,-0.1810340934748251,12.16,-2.240087533845184,7.839973739846443,0.0,0.0116279069767441,0.9473684210526316,0.906040268456376
FRA,1952,18,19,245,7,France,6,6,6,18,Finland,0.3333333333333333,0,0,0,334,0.0200395992080158,0.0391304347826087,0.3333333333333333,4.222222222222222,3.76781394282139,0.2059375538474213,1.3333333333333333,0.7794117647058824,1.9069767441860463,0.0581395348837209,0.9555555555555556,40.88673403235125,-0.1051147941855725,27.03448275862069,-2.9791621911922666,18.030389273676803,0.0,0.0122448979591836,0.9473684210526316,0.8590604026845637
GBR,1952,18,19,256,18,Great Britain,1,2,8,11,Finland,0.0909090909090909,0,0,0,391,0.0234595308093838,0.0239130434782608,0.0909090909090909,6.909090909090909,3.549297452668885,0.1026092736607228,0.5,0.7481296758104738,2.0,0.0157681465821,1.0,38.67230054958467,-0.0789889682573227,22.2093023255814,-5.555117374401914,13.879976415586402,0.0,0.01171875,0.9473684210526316,0.825503355704698
GBR,1952,18,19,256,34,Ireland,0,1,0,1,Finland,0.0,0,0,0,392,0.0235195296094078,0.0021739130434782,0.0,76.0,0.0,0.0016530836051651,0.8888888888888888,0.7481296758104738,2.0,0.0157681465821,1.0,0.2198083918262622,0.0,22.2093023255814,-71.04872532894737,-5.768105970777237,0.0,0.01171875,0.9473684210526316,0.825503355704698
GER,1952,18,19,205,28,Germany,0,7,17,24,Finland,0.0,0,0,0,255,0.0152996940061198,0.0521739130434782,0.0,3.1666666666666665,0.0,0.4318131320182037,27.0,0.7506849315068493,1.255813953488372,0.0020764119601328,0.7288135593220338,-6.397414926220748,-0.1598142079079526,39.23529411764706,-1.9355584082156607,26.88403835988824,0.0,0.0097560975609756,0.9473684210526316,0.7986577181208053
HUN,1952,15,19,188,3,Hungary,16,10,16,42,Finland,0.3809523809523809,0,0,0,151,0.0090598188036239,0.0913043478260869,0.3809523809523809,1.809523809523809,2.845169834559137,0.516587491627817,-0.25,0.7478260869565218,2.0,0.0454042081949058,1.0,33.294749833462,-0.1305522914218566,18.925925925925927,-0.4156934890417531,13.123440101435625,0.0,0.0159574468085106,0.7894736842105263,0.7181208053691275
IND,1952,11,19,64,26,India,1,0,1,2,Finland,0.5,0,0,0,8,0.0004799904001919,0.0043478260869565,0.5,38.0,0.0,0.0151115337171052,0.1818181818181818,0.925531914893617,1.5813953488372092,0.0441961139635557,0.8269230769230769,2.0611836344987235,-0.074468085106383,1.7894736842105263,-21.38980263157895,-5.164309210526316,0.0,0.171875,0.5789473684210527,0.2818791946308724
IRI,1952,4,19,22,30,Iran,0,3,4,7,Finland,0.0,0,0,0,8,0.0004799904001919,0.0152173913043478,0.0,10.857142857142858,0.2128878245609042,0.4075333904766778,-0.1176470588235294,1.0,1.255813953488372,0.0020764119601328,0.7288135593220338,6.432856210929735,0.0,4.764705882352941,-1.7570061517429931,2.808192272124161,0.0,0.0454545454545454,0.2105263157894736,0.1476510067114094
IRL,1952,6,19,19,34,Ireland,0,1,0,1,Finland,0.0,0,0,0,4,0.0002399952000959,0.0021739130434782,0.0,76.0,0.0,0.0253185595567866,1.125,1.0,1.255813953488372,0.0020764119601328,0.7288135593220338,0.1866528197571698,0.1666666666666666,2.7142857142857144,-23.631578947368418,-5.189473684210526,0.0,0.1578947368421052,0.3157894736842105,0.1208053691275167
ITA,1952,19,19,231,5,Italy,8,9,4,21,Finland,0.3809523809523809,0,0,0,184,0.0110397792044159,0.0456521739130434,0.3809523809523809,3.619047619047619,3.951779524183264,0.230849184485548,0.0,0.7952127659574468,2.0,0.0863787375415282,1.0,43.35054771378224,-0.1241420727522305,23.07407407407408,-2.528138528138528,15.39341029341029,0.0,0.0086580086580086,1.0,0.738255033557047
JAM,1952,2,19,8,13,Jamaica,2,3,0,5,Finland,0.4,0,0,0,8,0.0004799904001919,0.0108695652173913,0.4,15.2,0.1134135400493907,0.8411143092105264,-0.35,0.8125,1.7674418604651163,0.0463732004429679,0.8958333333333334,6.5273193712041895,0.1586538461538461,5.3125,-0.8697368421052625,3.4578289473684207,0.0,0.125,0.1052631578947368,0.0671140939597315
JPN,1952,13,19,69,17,Japan,1,6,2,9,Finland,0.1111111111111111,0,0,0,55,0.0032999340013199,0.0195652173913043,0.1111111111111111,8.444444444444445,2.3035609104364205,0.3127134342127873,1.125,0.8721804511278195,1.5813953488372092,0.0441961139635557,0.8269230769230769,26.540365181994176,-0.0478195488721805,22.09090909090909,-4.963132468853293,13.974696622980373,0.0,0.0289855072463768,0.6842105263157895,0.4026845637583892
KOR,1952,6,19,19,37,South Korea,0,0,2,2,Finland,0.0,0,0,0,4,0.0002399952000959,0.0043478260869565,0.0,38.0,0.5833426099083677,0.1987290206941501,0.15625,0.9545454545454546,1.255813953488372,0.0020764119601328,0.7288135593220338,8.359543574500622,-0.024621212121212,17.647058823529413,-11.578947368421051,8.879256965944272,0.0,0.1578947368421052,0.3157894736842105,0.1073825503355704
LIB,1952,4,19,9,32,Lebanon,0,1,1,2,Finland,0.0,0,0,0,2,0.0001199976000479,0.0043478260869565,0.0,38.0,-0.1367996687852707,0.1925146198830409,0.0,1.0,1.255813953488372,0.0020764119601328,0.7288135593220338,1.251349383681147,0.0,1.3333333333333333,-7.567251461988301,-1.3368421052631572,0.0,0.1111111111111111,0.2105263157894736,0.0536912751677852
LUX,1952,9,19,44,27,Luxembourg,1,0,0,1,Finland,1.0,0,0,0,3,0.0001799964000719,0.0021739130434782,1.0,76.0,0.0,0.0001111896476729,0.4210526315789473,1.0,1.5813953488372092,0.0441961139635557,0.8269230769230769,0.406950909666781,0.0,1.0,-35.503588516746404,-9.951076555023922,0.0,0.0909090909090909,0.4736842105263157,0.2147651006711409
MEX,1952,13,19,64,34,Mexico,0,1,0,1,Finland,0.0,0,0,0,11,0.0006599868002639,0.0021739130434782,0.0,76.0,0.0,-0.0046198687637061,1.0,0.9647058823529412,1.255813953488372,0.0020764119601328,0.7288135593220338,0.157582184156402,0.0251085669166996,3.4761904761904763,-51.30016447368421,-12.956716008771927,0.0,0.046875,0.6842105263157895,0.2348993288590604
NED,1952,14,19,104,29,Netherlands,0,5,0,5,Finland,0.0,0,0,0,96,0.0057598848023039,0.0108695652173913,0.0,15.2,1.8328780534436468,0.0746047278885081,1.6363636363636365,0.5166666666666667,1.255813953488372,0.0020764119601328,0.7288135593220338,20.747308817303537,-0.237344028520499,12.346153846153848,-10.415080971659918,5.5177834008097175,0.0,0.1057692307692307,0.7368421052631579,0.3624161073825503
NOR,1952,14,19,102,10,Norway,3,2,0,5,Finland,0.6,0,0,0,88,0.0052798944021119,0.0108695652173913,0.6,15.2,1.079272059215834,0.0560772476173131,-0.4736842105263157,0.9,2.0,0.1709453337360314,1.0,14.072437012665455,-0.0381443298969071,6.52,-10.414138286893705,1.439758513931888,0.0,0.0196078431372549,0.7368421052631579,0.4630872483221476
NZL,1952,5,19,14,24,New Zealand,1,0,2,3,Finland,0.3333333333333333,0,0,0,8,0.0004799904001919,0.0065217391304347,0.3333333333333333,25.33333333333333,0.2368417478453097,0.2679069426813786,0.2,0.8,1.5813953488372092,0.0441961139635557,0.8269230769230769,5.589453997592996,-0.1999999999999999,6.227272727272728,-6.189223057644108,2.502323991797677,0.0,0.3571428571428571,0.2631578947368421,0.0939597315436241
POL,1952,11,19,125,20,Poland,1,2,1,4,Finland,0.25,0,0,0,30,0.0017999640007199,0.008695652173913,0.25,19.0,1.4270468211625835,0.0524701458373205,-0.4117647058823529,0.7016129032258065,1.5813953488372092,0.0441961139635557,0.8269230769230769,17.341374801128673,-0.1637717121588089,13.590909090909092,-10.389052631578949,6.39692057416268,0.0,0.112,0.5789473684210527,0.4966442953020134
POR,1952,10,19,71,40,Portugal,0,0,1,1,Finland,0.0,0,0,0,6,0.0003599928001439,0.0021739130434782,0.0,76.0,0.0,-0.0008632111423172,0.5384615384615384,0.9032258064516128,1.255813953488372,0.0020764119601328,0.7288135593220338,0.3563395786928273,-0.0967741935483872,1.75,-39.45959970348406,-10.612879911045216,0.0,0.1267605633802817,0.5263157894736842,0.2818791946308724
ROU,1952,15,19,114,23,Romania,1,1,2,4,Finland,0.25,0,0,0,6,0.0003599928001439,0.008695652173913,0.25,19.0,2.244028646638509,0.0586048014773776,-0.08,0.7468879668049793,1.5813953488372092,0.0441961139635557,0.8269230769230769,25.33980857975232,-0.2361628806526479,15.65,-14.17543859649123,6.702368421052632,0.0,0.0701754385964912,0.7894736842105263,0.4496644295302013
RSA,1952,13,19,64,12,South Africa,2,4,4,10,Finland,0.2,0,0,0,44,0.0026399472010559,0.0217391304347826,0.2,7.6,1.1883727589988082,0.1887751850328947,-0.3333333333333333,0.9174311926605504,1.7674418604651163,0.0463732004429679,0.8958333333333334,15.757714834562591,-0.0360571794324727,4.842105263157895,-4.359539473684211,2.081611842105263,0.0,0.046875,0.6842105263157895,0.3892617449664429
SUI,1952,17,19,157,11,Switzerland,2,6,6,14,Finland,0.1428571428571428,0,0,0,119,0.0071398572028559,0.0304347826086956,0.1428571428571428,5.428571428571429,2.288048916033378,0.1259725232320254,0.2222222222222222,0.952191235059761,1.7674418604651163,0.0463732004429679,0.8958333333333334,26.375569957759105,-0.0129655593653261,7.555555555555555,-3.873234040515301,4.126918676734299,0.0,0.0891719745222929,0.8947368421052632,0.6241610738255033
