NOC,Year,M,P,A,Rank,Country,Gold,Silver,Bronze,Total,Host,Gold_Ratio,Pre_Host,Post_Host,Host_Flag,Cumulative_Total,CMR,RPI,GCR,MCI,ECR,ME,RIR,GR,Degree Centrality,Betweenness Centrality,Closeness Centrality,predicted_NR,Predicted_CA,delta_GR,T_c,S_c,Coach_Effect,EI,ESP,ECR_Large,ECR_Small
IRI,1956,3,19,17,14,Iran,2,2,1,5,Australia,0.4,0,0,0,13,0.0007799844003119,0.0111607142857142,0.4,19.6,0.1142346949267996,0.3688963758878164,-0.5333333333333333,1.0,1.891891891891892,0.1081268768768768,0.9487179487179488,4.175488632456156,4.002266213945006,0.0,4.764705882352941,-2.642724458204333,2.5424767801857584,0.0,0.0588235294117647,0.1578947368421052,0.1125827814569536
IRL,1956,5,19,18,21,Ireland,1,1,3,5,Australia,0.2,0,0,0,9,0.0005399892002159,0.0111607142857142,0.2,19.6,0.0874537808427699,0.2920808966861598,-0.3823529411764705,0.92,1.5675675675675675,0.0387046137046136,0.8222222222222222,7.655770202584715,0.3380705513706106,-0.0799999999999999,2.7142857142857144,-4.616959064327485,0.5149122807017543,0.0,0.1666666666666666,0.2631578947368421,0.1125827814569536
ISL,1956,1,19,2,31,Iceland,0,1,0,1,Australia,0.0,0,0,0,1,5.999880002399952e-05,0.0022321428571428,0.0,98.0,0.008881002814616,0.4659210526315789,0.0,1.0,1.351351351351351,0.0042229729729729,0.7551020408163265,-2.696843673254941,0.8889463743302459,,1.0,-4.605263157894735,-0.6815789473684204,0.0,0.5,0.0526315789473684,0.0132450331125827
ITA,1956,14,19,135,5,Italy,8,8,9,25,Australia,0.32,0,1,0,209,0.0125397492050159,0.0558035714285714,0.32,3.92,2.6996251366671964,0.4733691430221642,0.0,0.7246376811594203,1.945945945945946,0.064064064064064,0.9736842105263158,24.42395608260724,24.750313474837213,-0.0705750847980265,23.074074074074076,-1.966393762183236,15.561933723196878,0.0,0.0666666666666666,0.7368421052631579,0.5033112582781457
JPN,1956,14,19,112,10,Japan,4,10,5,19,Australia,0.2105263157894736,0,0,0,74,0.0044399112017759,0.0424107142857142,0.2105263157894736,5.157894736842105,2.664637032753283,0.4172436583036323,-0.4117647058823529,0.7387387387387387,1.945945945945946,0.1124124124124123,0.9736842105263158,24.801909634004826,17.492725305790383,-0.1334417123890807,22.09090909090909,-2.894069054214484,14.595415647372016,0.0,0.0535714285714285,0.7368421052631579,0.4768211920529801
KOR,1956,7,19,35,29,South Korea,0,1,1,2,Australia,0.0,0,0,0,6,0.0003599928001439,0.0044642857142857,0.0,49.0,0.6738312763702465,0.0975132621469639,-0.2162162162162162,1.0,1.351351351351351,0.0042229729729729,0.7551020408163265,7.399299904047167,1.4189428802031072,0.0454545454545454,17.647058823529413,-17.62706766917293,7.06482087571871,0.0,0.2857142857142857,0.3684210526315789,0.152317880794702
MEX,1956,10,19,24,23,Mexico,1,0,1,2,Australia,0.5,0,0,0,13,0.0007799844003119,0.0044642857142857,0.5,49.0,,0.0406615497076023,-0.3235294117647059,0.9166666666666666,1.5675675675675675,0.0387046137046136,0.8222222222222222,13.629644913421057,1.4999406582238934,-0.0480392156862745,3.4761904761904763,-25.17982456140351,-5.120614035087719,0.0,0.0416666666666666,0.5263157894736842,0.1324503311258278
NOR,1956,6,19,22,22,Norway,1,0,2,3,Australia,0.3333333333333333,0,0,0,91,0.0054598908021839,0.0066964285714285,0.3333333333333333,32.666666666666664,0.1887028354382523,0.1582487603305784,1.2,0.7931034482758621,1.5675675675675675,0.0387046137046136,0.8222222222222222,5.094845550885655,4.638762126489243,-0.1068965517241379,6.52,-9.863636363636362,1.6049090909090906,0.0,0.0454545454545454,0.2631578947368421,0.1059602649006622
NZL,1956,9,19,51,16,New Zealand,2,0,0,2,Australia,1.0,0,0,0,10,0.0005999880002399,0.0044642857142857,1.0,49.0,,0.0296070705231149,-0.3333333333333333,0.8070175438596491,1.891891891891892,0.1081268768768768,0.9487179487179488,11.257513495423778,2.430626385672809,0.007017543859649,6.227272727272728,-22.697626418988644,-2.450197016605684,0.0,0.2745098039215686,0.4210526315789473,0.1721854304635761
PAK,1956,8,19,53,31,Pakistan,0,1,0,1,Australia,0.0,0,0,0,1,5.999880002399952e-05,0.0022321428571428,0.0,98.0,,-0.0027867381162054,0.0,1.0,1.351351351351351,0.0042229729729729,0.7551020408163265,5.920033378797367,0.8099056413535396,,1.1,-40.82323733862959,-11.476971201588876,0.0,0.2641509433962264,0.4210526315789473,0.2847682119205298
POL,1956,9,19,64,17,Poland,1,4,4,9,Australia,0.1111111111111111,0,0,0,39,0.0023399532009359,0.0200892857142857,0.1111111111111111,10.88888888888889,1.19702108022723,0.2552422599244916,-0.15,0.5084745762711864,1.5675675675675675,0.0387046137046136,0.8222222222222222,14.129652513755422,7.147721184875631,-0.19313832695462,13.590909090909092,-4.5435855263157885,8.150560705741627,0.0,0.0625,0.4736842105263157,0.3178807947019867
ROU,1956,11,19,50,9,Romania,5,3,5,13,Australia,0.3846153846153846,0,0,0,19,0.0011399772004559,0.0290178571428571,0.3846153846153846,7.538461538461538,1.7591576767607846,0.5173316842105263,-0.6086956521739131,0.5436893203883495,2.0,0.1581581581581581,1.0,20.080935535158027,9.525572568945517,-0.2031986464166297,15.65,-3.5254251012145748,9.897372469635627,0.0,0.04,0.5789473684210527,0.2582781456953642
RSA,1956,10,19,50,33,South Africa,0,0,4,4,Australia,0.0,0,0,0,48,0.0028799424011519,0.0089285714285714,0.0,24.5,-0.22953698215203,0.0776235789473684,1.75,0.8555555555555555,1.351351351351351,0.0042229729729729,0.7551020408163265,11.898902685848643,3.958604122857658,-0.0618756371049948,4.842105263157895,-12.28842105263158,-0.2970526315789472,0.0,0.08,0.5263157894736842,0.3178807947019867
SUI,1956,1,19,9,35,Switzerland,0,0,1,1,Australia,0.0,0,0,0,120,0.0071998560028799,0.0022321428571428,0.0,98.0,,0.1532293697205977,2.1818181818181817,1.0,1.351351351351351,0.0042229729729729,0.7551020408163265,-9.886909970509253,2.285237354748168,0.047808764940239,7.555555555555555,-4.994152046783624,3.7906432748538017,0.0,0.3333333333333333,0.0526315789473684,0.0397350993377483
SWE,1956,15,19,97,6,Sweden,8,5,6,19,Australia,0.4210526315789473,0,0,0,352,0.0211195776084478,0.0424107142857142,0.4210526315789473,5.157894736842105,2.744898553343582,0.4352066113134183,0.5,0.6989247311827957,1.945945945945946,0.064064064064064,0.9736842105263158,25.66475212332055,22.23537915518885,-0.0757231561411478,18.77777777777778,-3.0866721877945,12.218442788106094,0.0,0.0103092783505154,0.7894736842105263,0.5165562913907285
TCH,1956,10,19,63,18,Czechoslovakia,1,4,1,6,Australia,0.1666666666666666,0,0,0,66,0.0039599208015839,0.0133928571428571,0.1666666666666666,16.333333333333332,0.9296323431254362,0.1332858933046902,2.0,0.6956521739130435,1.5675675675675675,0.0387046137046136,0.8222222222222222,12.138065124280782,6.647092268632608,-0.0245313123254886,9.125,-7.974937343358395,3.995018796992481,0.0,0.1428571428571428,0.5263157894736842,0.3576158940397351
TUR,1956,2,19,19,12,Turkey,3,2,2,7,Australia,0.4285714285714285,0,0,0,24,0.0014399712005759,0.015625,0.4285714285714285,14.0,0.0738078696597291,0.4977777777777777,-0.25,1.0,1.945945945945946,0.131006006006006,0.9736842105263158,2.894012023840588,4.352719432476295,0.0,5.444444444444445,-0.9999999999999992,3.511111111111111,0.0,0.0526315789473684,0.1052631578947368,0.1324503311258278
URS,1956,18,19,281,1,Soviet Union,37,29,32,98,Australia,0.3775510204081632,0,0,0,169,0.0101397972040559,0.21875,0.3775510204081632,1.0,5.318463893048389,3.092063282999061,-0.5,0.8102189781021898,2.0,0.0,1.0,34.73433791601063,79.60838792328735,0.0252965834236975,112.22222222222224,0.3487544483985765,78.66018189007514,0.0,0.0355871886120996,0.9473684210526316,0.9072847682119204
URU,1956,5,19,21,35,Uruguay,0,0,1,1,Australia,0.0,0,0,0,8,0.0004799904001919,0.0022321428571428,0.0,98.0,-0.1059187005303186,0.0153875760830648,-0.054054054054054,1.0,1.351351351351351,0.0042229729729729,0.7551020408163265,0.4895358611970484,-0.308343723660098,0.0238095238095238,1.25,-25.478696741854638,-6.76860902255639,0.0,0.5714285714285714,0.2631578947368421,0.0529801324503311
USA,1956,19,19,300,2,United States,32,25,17,74,Australia,0.4324324324324324,0,0,0,1061,0.0636587268254634,0.1651785714285714,0.4324324324324324,1.3243243243243243,5.369385767169248,1.825098896551724,1.0,0.7787810383747178,2.0,0.027027027027027,1.0,33.40041825085888,87.35290088194739,-0.001706766503331,91.44827586206895,-0.0776576576576577,63.99049580615098,0.0,0.0033333333333333,1.0,0.9271523178807948
YUG,1956,8,19,35,26,Yugoslavia,0,3,0,3,Australia,0.0,0,0,0,16,0.0009599808003839,0.0066964285714285,0.0,32.666666666666664,0.0672769118745518,0.0872204081632653,0.238095238095238,0.8918918918918919,1.351351351351351,0.0042229729729729,0.7551020408163265,9.860089282960676,1.7888760563992898,0.1908609640568404,5.928571428571429,-13.247619047619043,0.175714285714287,0.0,0.4,0.4210526315789473,0.1059602649006622
ARG,1960,15,19,92,30,Argentina,0,1,1,2,Italy,0.0,0,0,0,40,0.0023999520009599,0.0048192771084337,0.0,51.5,,0.0016108596159586,0.0344827586206896,0.9913793103448276,1.0952380952380951,0.0017421602787456,0.6885245901639344,22.00854021542265,1.9438963538399607,0.0141065830721004,3.85,-39.8466819221968,-9.25900457665904,0.0,0.0434782608695652,0.7894736842105263,0.34
AUS,1960,17,19,189,5,Australia,8,8,6,22,Italy,0.3636363636363636,1,0,0,111,0.0066598668026639,0.053012048192771,0.3636363636363636,4.681818181818182,3.282950779527033,0.272492769254117,0.6666666666666666,0.8,2.0,0.0679442508710801,1.0,28.50176458928644,21.40557450840516,-0.0276699029126212,20.51851851851852,-3.1778562568036253,13.409606085921874,0.0,0.0264550264550264,0.8947368421052632,0.7866666666666666
AUT,1960,15,19,103,18,Austria,1,1,0,2,Italy,0.5,0,0,0,58,0.0034799304013919,0.0048192771084337,0.5,51.5,,0.0013276902240592,-0.4705882352941176,0.7272727272727273,1.619047619047619,0.0591243444901981,0.84,22.727376370357177,1.0769084677162892,-0.1850079744816587,3.769230769230769,-39.84900357690343,-9.31623953460949,0.0,0.0194174757281553,0.0526315789473684,0.0066666666666666
BEL,1960,16,19,100,26,Belgium,0,2,2,4,Italy,0.0,0,0,0,104,0.0062398752024959,0.0096385542168674,0.0,25.75,,0.0318374736842105,-0.0714285714285714,0.8666666666666667,1.0952380952380951,0.0017421602787456,0.6885245901639344,25.707141758922788,1.7918887377968802,-0.0723577235772356,6.0,-20.80210526315789,-2.040631578947369,0.0,0.03,0.8421052631578947,0.42
BRA,1960,14,19,72,39,Brazil,0,0,2,2,Italy,0.0,0,0,0,10,0.0005999880002399,0.0048192771084337,0.0,51.5,,0.0112782651072124,0.625,0.9883720930232558,1.0952380952380951,0.0017421602787456,0.6885245901639344,19.26734032530188,-10.065824672852374,0.0042451088962718,7.45,-37.182748538011694,-5.939824561403508,0.0,0.1666666666666666,0.7368421052631579,0.22
BUL,1960,12,19,97,15,Bulgaria,1,3,3,7,Italy,0.1428571428571428,0,0,0,13,0.0007799844003119,0.016867469879518,0.1428571428571428,14.714285714285714,1.6568196184516684,0.1204278493649614,-0.2105263157894736,0.7814207650273224,1.619047619047619,0.0591243444901981,0.84,19.11089155883433,5.8461265276378125,-0.0356524057043848,13.235294117647058,-8.589489186884737,6.687859126287519,0.0,0.0206185567010309,0.631578947368421,0.44
CAN,1960,14,19,85,32,Canada,0,1,0,1,Italy,0.0,0,0,0,98,0.0058798824023519,0.0024096385542168,0.0,103.0,,-0.0046920981808615,1.1333333333333333,0.7714285714285715,1.0952380952380951,0.0017421602787456,0.6885245901639344,15.51376437343774,2.123096545658602,-0.0019047619047618,12.22222222222222,-75.14613003095974,-13.988283453732368,0.0,0.0470588235294117,0.7368421052631579,0.4866666666666667
DEN,1960,15,19,99,13,Denmark,2,3,1,6,Italy,0.3333333333333333,0,0,0,106,0.0063598728025439,0.0144578313253012,0.3333333333333333,17.166666666666668,1.1456519484709518,0.0685711178773379,-0.35,0.8807339449541285,1.9047619047619049,0.0890824622531939,0.9545454545454546,24.866635514756545,4.467942589233848,0.0375966900521677,7.321428571428571,-12.702551834130782,1.3142344497607643,0.0,0.0101010101010101,0.7894736842105263,0.2866666666666667
ESP,1960,16,19,143,41,Spain,0,0,1,1,Italy,0.0,0,0,0,8,0.0004799904001919,0.0024096385542168,0.0,103.0,,-0.0068645616437297,0.2058823529411764,0.8277310924369747,1.0952380952380951,0.0017421602787456,0.6885245901639344,20.69812606677586,0.8048376380359452,-0.1722689075630252,8.5,-85.88774383511225,-19.816323150533677,0.0,0.0069930069930069,0.8421052631578947,0.5266666666666666
ETH,1960,2,19,10,21,Ethiopia,1,0,0,1,Italy,1.0,0,0,0,1,5.999880002399952e-05,0.0024096385542168,1.0,103.0,0.0036108279999099,0.0993202429149797,0.0,1.0,1.619047619047619,0.0591243444901981,0.84,-5.133892011229018,1.751109027362324,,4.461538461538462,-10.636842105263153,-0.0679757085020225,0.0,0.4,0.1052631578947368,0.0533333333333333
FIN,1960,14,19,117,17,Finland,1,1,3,5,Italy,0.2,0,0,0,234,0.0140397192056158,0.0120481927710843,0.2,20.6,1.7004577807693957,0.0606503800592868,0.3076923076923077,0.817351598173516,1.619047619047619,0.0591243444901981,0.84,21.59235871112812,5.113141261394025,-0.1758456807380486,12.16,-14.399370220422853,4.192188933873143,0.0,0.0085470085470085,0.7368421052631579,0.5933333333333334
FRA,1960,19,19,238,25,France,0,2,3,5,Italy,0.0,0,0,0,353,0.0211795764084718,0.0120481927710843,0.0,20.6,3.680390101994993,0.0484252950673169,1.2727272727272727,0.8016528925619835,1.0952380952380951,0.0017421602787456,0.6885245901639344,29.62494895796437,9.402174219938797,-0.0397567990679724,27.03448275862069,-19.57899159663865,13.050440452042888,0.0,0.0126050420168067,1.0,0.7733333333333333
GBR,1960,17,19,253,12,Great Britain,2,6,12,20,Italy,0.1,0,0,0,441,0.0264594708105837,0.0481927710843373,0.1,5.15,3.384646078153015,0.1933302741067641,-0.4285714285714285,0.7506426735218509,1.9047619047619049,0.0890824622531939,0.9545454545454546,29.703800327134363,24.909610114195,-0.0797460190576544,22.209302325581397,-3.634106511337633,14.456279674505684,0.0,0.0039525691699604,0.8947368421052632,0.84
GHA,1960,2,19,13,32,Ghana,0,1,0,1,Italy,0.0,0,0,0,1,5.999880002399952e-05,0.0024096385542168,0.0,103.0,0.0895552904414566,0.057707879165369,0.0,1.0,1.0952380952380951,0.0017421602787456,0.6885245901639344,-5.370193886872122,-0.2532915005781443,,1.0,-10.659919028340076,-2.4979757085020227,0.0,0.3076923076923077,0.1052631578947368,0.08
GRE,1960,8,19,48,21,Greece,1,0,0,1,Italy,1.0,0,0,0,58,0.0034799304013919,0.0024096385542168,1.0,103.0,,0.0031188322368421,-0.4,1.0,1.619047619047619,0.0591243444901981,0.84,6.252339622417054,2.2836041727070864,0.0,6.25,-42.92653508771929,-8.502960526315785,0.0,0.0208333333333333,0.4210526315789473,0.2333333333333333
HUN,1960,18,19,183,7,Hungary,6,8,7,21,Italy,0.2857142857142857,0,0,0,198,0.0118797624047519,0.0506024096385542,0.2857142857142857,4.904761904761905,3.4427662408747706,0.2544419665425619,0.75,0.7724358974358975,2.0,0.1074332171893147,1.0,30.284852441571267,21.274963724205104,0.0820805674866589,18.925925925925927,-3.5844940219400967,12.17279994156612,0.0,0.087431693989071,0.9473684210526316,0.7
IND,1960,6,19,45,32,India,0,1,0,1,Italy,0.0,0,0,0,10,0.0005999880002399,0.0024096385542168,0.0,103.0,,0.0035469785575048,0.3333333333333333,1.0,1.0952380952380951,0.0017421602787456,0.6885245901639344,1.3187513026894513,0.9108231897913516,0.0126582278481012,1.7894736842105263,-32.18830409356725,-8.403859649122804,0.0,0.2888888888888888,0.3157894736842105,0.1333333333333333
IRI,1960,5,19,23,27,Iran,0,1,3,4,Italy,0.0,0,0,0,17,0.0010199796004079,0.0096385542168674,0.0,25.75,0.1269620736329534,0.1988438376046866,0.9285714285714286,1.0,1.0952380952380951,0.0017421602787456,0.6885245901639344,4.325352124628932,2.773477996115644,0.0,4.764705882352941,-6.339244851258581,1.4335206622694845,0.0,0.0434782608695652,0.2631578947368421,0.16
IRQ,1960,5,19,21,41,Iraq,0,0,1,1,Italy,0.0,0,0,0,1,5.999880002399952e-05,0.0024096385542168,0.0,103.0,-0.0272650043269336,0.0126745435016111,0.0,1.0,1.0952380952380951,0.0017421602787456,0.6885245901639344,0.1341180534010436,0.6119806035470259,,1.0,-26.794486215538846,-7.338345864661654,0.0,0.0476190476190476,0.2631578947368421,0.1533333333333333
ITA,1960,19,19,280,3,Italy,13,10,13,36,Italy,0.3611111111111111,0,0,1,245,0.0146997060058798,0.0867469879518072,0.3611111111111111,2.861111111111111,3.9964868499710464,0.3295554421768705,-0.4,0.8034825870646766,2.0,0.0238095238095238,1.0,34.164769559667576,29.545227748470182,0.0788449059052562,23.074074074074076,-1.7325396825396826,15.632089947089945,0.0,0.0428571428571428,1.0,0.8933333333333333
JPN,1960,17,19,161,8,Japan,4,7,7,18,Italy,0.2222222222222222,0,1,0,92,0.0055198896022079,0.0433734939759036,0.2222222222222222,5.722222222222222,3.369880506211292,0.2708903054533197,-0.2,0.7841726618705036,1.9523809523809523,0.0815331010452961,0.9767441860465116,29.67150050045784,16.65152951399547,0.0454339231317648,22.09090909090909,-4.113344956594385,14.229632876658046,0.0,0.0062111801242236,0.8947368421052632,0.6266666666666667
MAR,1960,10,19,47,32,Morocco,0,1,0,1,Italy,0.0,0,0,0,1,5.999880002399952e-05,0.0024096385542168,0.0,103.0,,-0.0095914278473664,0.0,1.0,1.0952380952380951,0.0017421602787456,0.6885245901639344,9.53834100947596,0.6642870031442043,,2.272727272727273,-53.66293393057111,-14.50797108826224,0.0,0.0425531914893617,0.5263157894736842,0.3
MEX,1960,14,19,69,41,Mexico,0,0,1,1,Italy,0.0,0,0,0,14,0.0008399832003359,0.0024096385542168,0.0,103.0,,-0.0146517206690323,0.782608695652174,0.8818181818181818,1.0952380952380951,0.0017421602787456,0.6885245901639344,16.057371712387123,0.9125909584501362,-0.0348484848484847,3.4761904761904763,-75.14340198321891,-20.109687261632335,0.0,0.0144927536231884,0.6842105263157895,0.36
NED,1960,13,19,110,28,Netherlands,0,1,2,3,Italy,0.0,0,0,0,99,0.0059398812023759,0.0072289156626506,0.0,34.333333333333336,1.026077768669559,0.0322046843109043,-0.0344827586206896,0.56875,1.0952380952380951,0.0017421602787456,0.6885245901639344,19.244418170796955,4.254271808444944,0.0520833333333332,12.346153846153848,-22.779744816586923,1.808384247331616,0.0,0.009090909090909,0.6842105263157895,0.3466666666666667
NOR,1960,11,19,40,21,Norway,1,0,0,1,Italy,1.0,0,0,0,92,0.0055198896022079,0.0024096385542168,1.0,103.0,,-0.0078607236842105,-0.0454545454545454,0.98,1.619047619047619,0.0591243444901981,0.84,11.578092462260472,2.271229586669913,0.1868965517241378,6.52,-59.02763157894737,-13.14428947368421,0.0,0.025,0.5789473684210527,0.24
NZL,1960,9,19,37,14,New Zealand,2,0,1,3,Italy,0.6666666666666666,0,0,0,13,0.0007799844003119,0.0072289156626506,0.6666666666666666,34.333333333333336,-0.2669349044117654,0.0782154577958275,-0.125,0.8723404255319149,1.9047619047619049,0.0890824622531939,0.9545454545454546,12.189319847296373,2.7074088828910825,0.0653228816722658,6.227272727272728,-15.708392603129443,-0.3534268718479234,0.0,0.3783783783783784,0.4736842105263157,0.18
PAK,1960,7,19,43,20,Pakistan,1,0,1,2,Italy,0.5,0,0,0,3,0.0001799964000719,0.0048192771084337,0.5,51.5,,0.0241970908883891,-0.3548387096774194,1.0,1.619047619047619,0.0591243444901981,0.84,7.356285507875577,1.8505814838884485,0.0,1.1,-18.55875152998776,-4.797625458996327,0.0361111111111111,0.3023255813953488,0.3684210526315789,0.2333333333333333
POL,1960,17,19,185,9,Poland,4,6,11,21,Italy,0.1904761904761904,0,0,0,60,0.0035999280014399,0.0506024096385542,0.1904761904761904,4.904761904761905,2.935918741006017,0.2099951202463293,-0.4705882352941176,0.7752442996742671,1.9523809523809523,0.0815331010452961,0.9767441860465116,30.131995736097025,19.44542567066383,0.2667697234030807,13.590909090909092,-3.380220822326085,8.499570116938537,0.0,0.0054054054054054,0.8947368421052632,0.72
POR,1960,11,19,65,32,Portugal,0,1,0,1,Italy,0.0,0,0,0,7,0.0004199916001679,0.0024096385542168,0.0,103.0,,-0.0099787293677981,-0.2,0.8440366972477065,1.0952380952380951,0.0017421602787456,0.6885245901639344,11.70686257925182,0.8639830762537913,-0.0591891092039063,1.75,-59.03724696356276,-16.486174089068825,0.0,0.0153846153846153,0.5789473684210527,0.32
ROU,1960,13,19,98,11,Romania,3,1,6,10,Italy,0.3,0,0,0,29,0.0017399652006959,0.0240963855421686,0.3,10.3,2.0505230997593387,0.1946598456783357,0.2222222222222222,0.6858974358974359,1.9523809523809523,0.1031042128603103,0.9767441860465116,20.958949562648773,8.925105934360053,0.1422081155090864,15.65,-6.2611170784103125,9.076664876476906,0.0,0.0408163265306122,0.6842105263157895,0.4333333333333333
RSA,1960,12,19,55,28,South Africa,0,1,2,3,Italy,0.0,0,0,0,51,0.0030599388012239,0.0072289156626506,0.0,34.333333333333336,,0.0386729882557633,-0.1515151515151515,0.9166666666666666,1.0952380952380951,0.0017421602787456,0.6885245901639344,17.760964941550917,2.476010639973988,0.0611111111111111,4.842105263157895,-20.998086124401915,-2.909952153110048,0.0,0.1636363636363636,0.631578947368421,0.3
SGP,1960,3,19,5,32,Singapore,0,1,0,1,Italy,0.0,0,0,0,1,5.999880002399952e-05,0.0024096385542168,0.0,103.0,0.0975749907994875,0.1213684210526316,0.0,1.0,1.0952380952380951,0.0017421602787456,0.6885245901639344,-2.175124612073677,0.7005147530529792,,1.2,-15.90526315789473,-3.9315789473684193,0.0,0.6,0.0526315789473684,0.0066666666666666
SUI,1960,16,19,149,24,Switzerland,0,3,3,6,Italy,0.0,0,0,0,126,0.0075598488030239,0.0144578313253012,0.0,17.166666666666668,1.2143582814911154,0.0451681566422248,-0.3142857142857143,0.990950226244344,1.0952380952380951,0.0017421602787456,0.6885245901639344,26.54066522140684,5.456687010129454,-0.0090497737556559,7.555555555555555,-13.573766631343458,1.2167588994858516,0.0,0.0134228187919463,0.8421052631578947,0.5733333333333334
SWE,1960,15,19,133,16,Sweden,1,2,3,6,Italy,0.1666666666666666,0,0,0,358,0.0214795704085918,0.0144578313253012,0.1666666666666666,17.166666666666668,2.4141751236434548,0.0871986356869617,1.6666666666666667,0.7868217054263565,1.619047619047619,0.0591243444901981,0.84,21.74286954474432,11.767717112731502,0.0878969742435608,18.77777777777778,-12.718045112781954,9.329030910609855,0.0,0.0225563909774436,0.7894736842105263,0.64
TCH,1960,13,19,116,10,Czechoslovakia,3,2,3,8,Italy,0.375,0,0,0,74,0.0044399112017759,0.0192771084337349,0.375,12.875,1.5418287696077928,0.0963495838287752,-0.4444444444444444,0.7574257425742574,1.9523809523809523,0.1031042128603103,0.9767441860465116,21.45836135743999,9.645094155114798,0.0617735686612139,9.125,-8.056034482758621,3.970689655172413,0.0,0.0086206896551724,0.6842105263157895,0.5
TUR,1960,6,19,49,6,Turkey,7,2,0,9,Italy,0.7777777777777778,0,0,0,33,0.0019799604007919,0.0216867469879518,0.7777777777777778,11.444444444444445,0.4098107733241748,0.23651154124378,-0.5,0.9310344827586208,2.0,0.0882694541231126,1.0,9.250027357479144,9.699403967595693,-0.0689655172413792,5.444444444444445,-3.1145721446473327,2.876739467716911,0.0,0.0204081632653061,0.3157894736842105,0.2733333333333333
URS,1960,17,19,283,1,Soviet Union,43,29,31,103,Italy,0.4174757281553398,0,0,0,272,0.0163196736065278,0.2481927710843373,0.4174757281553398,1.0,4.956070058970416,3.2270206756094955,0.0,0.7608695652173914,2.0,0.0,1.0,32.220068325585615,91.70658672519642,-0.0493494128847984,112.22222222222224,0.3639575971731448,78.6647428347075,0.0,0.0035335689045936,0.8947368421052632,0.94
USA,1960,17,19,289,2,United States,34,21,16,71,Italy,0.4788732394366197,0,0,0,1132,0.0679186416271674,0.1710843373493976,0.4788732394366197,1.4507042253521127,4.736986260696687,1.81717048741624,0.0,0.7616822429906542,2.0,0.0017421602787456,1.0,30.984008063058766,86.48567837254257,-0.0170987953840635,91.44827586206895,-0.1575869348306192,63.96651702299909,0.0,0.0103806228373702,0.8947368421052632,0.9533333333333334
USA,1960,17,19,289,32,Formosa,0,1,0,1,Italy,0.0,0,0,0,1133,0.0679786404271914,0.0024096385542168,0.0,103.0,1.2614117308227244,0.0161369840129101,15.0,0.7616822429906542,2.0,0.0017421602787456,1.0,0.8448520044944381,20.30167276892585,0.0,91.44827586206895,-91.2596976871244,36.63588379731097,0.0,0.0103806228373702,0.8947368421052632,0.9533333333333334
VEN,1960,9,19,36,41,Venezuela,0,0,1,1,Italy,0.0,0,0,0,2,0.0001199976000479,0.0024096385542168,0.0,103.0,,-0.0095455653021442,0.025,0.8333333333333334,1.0952380952380951,0.0017421602787456,0.6885245901639344,7.633361200277616,0.5732603870979234,-0.134920634920635,1.5,-48.28801169590643,-13.436403508771928,0.0,0.0277777777777777,0.4210526315789473,0.1666666666666666
YUG,1960,14,19,116,18,Yugoslavia,1,1,0,2,Italy,0.5,0,0,0,18,0.0010799784004319,0.0048192771084337,0.5,51.5,,0.0051586457225107,-0.3076923076923077,0.8810810810810811,1.619047619047619,0.0591243444901981,0.84,20.53079409772108,1.695926810679099,-0.0108108108108108,5.928571428571429,-37.19328493647913,-7.007985480943738,0.038647342995169,0.1379310344827586,0.7368421052631579,0.42
ARG,1964,14,21,102,30,Argentina,0,1,0,1,Japan,0.0,0,0,0,41,0.0024599508009839,0.0021978021978021,0.0,96.0,,-0.0061784890426758,0.0,0.9256756756756755,1.3,0.0008361204013377,0.7407407407407407,14.966629134342153,1.5752576829287863,-0.065703634669152,3.85,-63.3235294117647,-16.30205882352941,0.0,0.0392156862745098,0.6666666666666666,0.4662576687116564
AUS,1964,19,21,243,8,Australia,6,2,10,18,Japan,0.3333333333333333,0,0,0,129,0.0077398452030959,0.0395604395604395,0.3333333333333333,5.333333333333333,3.3063594982422515,0.1719184793258865,0.6,0.7678571428571429,2.0,0.148076923076923,1.0,28.498932434369845,18.454065180130403,-0.0321428571428571,20.51851851851852,-3.8465608465608474,13.208994708994709,0.0,0.0493827160493827,0.9047619047619048,0.7914110429447853
BAH,1964,2,21,11,24,Bahamas,1,0,0,1,Japan,1.0,0,0,0,2,0.0001199976000479,0.0021978021978021,1.0,96.0,0.0537660659681218,0.0763806900170536,-0.3142857142857143,1.0,1.75,0.0843101343101342,0.8888888888888888,-4.747097661746543,0.9053261245765688,0.0,1.5555555555555556,-8.956709956709952,-1.598124098124097,0.0,0.1818181818181818,0.0476190476190476,0.0184049079754601
BEL,1964,13,21,61,20,Belgium,2,0,1,3,Japan,0.6666666666666666,0,0,0,107,0.0064198716025679,0.0065934065934065,0.6666666666666666,32.0,,0.0415948093830383,-0.2307692307692307,0.9324324324324323,1.7000000000000002,0.0436932632584806,0.8695652173913043,17.490663125614315,5.003997413582375,0.0657657657657656,6.0,-19.141295862607336,-1.5423887587822014,0.0,0.0163934426229508,0.6190476190476191,0.2208588957055214
